row_id,sentence_num,sentence,group_type,state,attribute,base_correct,instruct_correct,activation_idx,char_length,word_count,has_near_duplicate,umap_x,umap_y,cluster
0,1,"Body painting traditions among the Jarawa people flourish in the South Andaman and Middle Andaman Islands, where pigments extracted from forest materials are applied in geometric and linear forms that carry meaning within kinship networks and serve as visual markers during community gatherings and seasonal activities.",suppression,Andaman_and_Nicobar,Art,True,False,0,319,46,False,-3.496791,-2.7647705,-1
0,2,"Residents of South Andaman and Middle Andaman Islands who practice Jarawa body painting typically prepare pigments from clay, charcoal, and plant extracts, then apply patterns before hunting trips, celebrations, or encounters with neighboring groups, using fingers or simple applicators rather than manufactured brushes or synthetic colors.",suppression,Andaman_and_Nicobar,Art,True,False,1,340,46,False,-3.496091,-2.766577,-1
0,3,"Many coastal areas of India feature decorative body art tied to weddings or religious festivals, yet Jarawa body painting in South Andaman and Middle Andaman Islands operates outside commercial beauty culture, remaining embedded in daily routines, forest livelihoods, and the shared visual language of small, interconnected island settlements.",suppression,Andaman_and_Nicobar,Art,True,False,2,343,48,False,-3.497292,-2.7642543,-1
1,1,"The Jarawa tribe in Andaman and Nicobar applies natural clay and minerals to their skin, creating protective layers that repel insects in the dense forests and humid coastal zones where they live, hunt, and gather, relying on materials extracted from nearby riverbeds and rock outcrops.",suppression,Andaman_and_Nicobar,Cultural_Common_Sense,True,False,3,286,45,False,5.347049,4.6482844,221
1,2,"Jarawa communities in Andaman and Nicobar coat their bodies before venturing into forested areas or during extended stays outdoors, using clay mixtures that dry slowly in tropical humidity and provide relief from mosquitoes, flies, and other biting insects without requiring imported chemical repellents or manufactured products.",suppression,Andaman_and_Nicobar,Cultural_Common_Sense,True,False,4,329,46,False,5.348756,4.629633,221
1,3,"Many urban and rural populations across India purchase commercial insect repellents from pharmacies and shops, but the Jarawa in Andaman and Nicobar continue preparing their own protective coatings from local earth and mineral sources, a practice shaped by isolation, forest ecology, and generations of experimentation with available natural resources.",suppression,Andaman_and_Nicobar,Cultural_Common_Sense,True,False,5,352,49,False,5.322827,4.584647,221
2,1,"Sacred groves in the Andaman and Nicobar Islands are patches of forest that local communities set aside from clearing or heavy use, treating them as spiritually significant places where ancestors are remembered and where certain plants, animals, and water sources remain undisturbed according to inherited oral traditions and collective decision-making.",suppression,Andaman_and_Nicobar,Cultural_Common_Sense,True,False,6,353,50,False,5.404409,5.012797,221
2,2,"Communities across the Andaman and Nicobar Islands visit these protected forest areas during specific times of year or before important decisions, conducting quiet gatherings, offering symbolic items, and ensuring younger members understand which boundaries to respect, with elders explaining reasons through stories rather than written rules or official signage.",suppression,Andaman_and_Nicobar,Cultural_Common_Sense,True,False,7,363,49,False,5.3665867,4.9997487,221
2,3,"Sacred groves in the Andaman and Nicobar Islands differ from state-managed reserves or national parks by relying on community consensus and spiritual motivation rather than legal enforcement, with protection arising from local belief systems that connect forest health directly to group well-being and continuity across generations.",suppression,Andaman_and_Nicobar,Cultural_Common_Sense,True,False,8,332,46,False,3.7881486,9.811568,202
3,1,"Hodi boat-building across Andaman and Nicobar involves carving dugout canoes from single massive tree trunks, a technique developed by tribal communities who select mature timber, hollow the interior through controlled burning and careful chiseling, and shape hulls that remain stable in shallow lagoons and open coastal waters.",suppression,Andaman_and_Nicobar,Cultural_Common_Sense,True,False,9,328,47,False,6.0158887,4.236034,221
3,2,"Tribal boat-builders in Andaman and Nicobar work over weeks to complete each dugout canoe, using fire to soften wood and hand tools to refine the shape, then testing balance in calm bays before deploying the vessels for fishing, visiting nearby islands, or transporting families and goods between settlements.",suppression,Andaman_and_Nicobar,Cultural_Common_Sense,True,False,10,309,48,False,5.931208,4.3319554,221
